3.196,-1.468,5.827,-6.887,0.102,-0.189,0.983,-2.014
4.302,-1.079,8.044,-4.402,0.111,-0.200,0.984,-2.278
3.881,-2.571,5.153,-6.040,0.117,-0.215,1.200,-2.380
1.733,1.941,0.525,6.177,0.113,-0.202,1.380,-2.832
2.112,1.176,-3.393,11.711,0.099,-0.174,1.404,-2.760
-0.605,5.550,-6.795,16.246,0.085,-0.152,1.399,-2.712
3.784,-4.142,-7.909,17.758,0.074,-0.131,1.321,-2.530
-0.318,2.797,-14.920,29.524,0.062,-0.104,1.525,-2.772
-3.988,6.691,-16.380,29.756,0.040,-0.069,1.315,-2.352
-3.910,5.815,-14.675,22.222,0.030,-0.050,1.113,-1.735
-4.785,4.900,-15.078,19.110,0.022,-0.038,1.029,-1.430
-4.785,4.900,-15.078,19.110,0.022,-0.038,1.029,-1.430
-5.265,3.737,-12.714,13.604,0.010,-0.025,0.767,-0.996
-5.126,0.231,-9.999,3.871,-0.002,-0.012,0.470,-0.341
-5.126,0.231,-9.999,3.871,-0.002,-0.012,0.470,-0.341
-5.347,-0.029,-8.508,1.766,-0.009,-0.008,0.318,-0.190
-5.298,0.353,-8.629,2.710,-0.010,-0.006,0.301,-0.215
-4.678,-0.305,-7.365,1.264,-0.013,-0.005,0.206,-0.129
-4.639,-0.524,-5.871,0.617,-0.015,-0.004,0.111,-0.081
-4.403,-1.039,-5.689,-0.144,-0.016,-0.003,0.091,-0.035
-3.502,-0.986,-4.070,-0.361,-0.016,-0.003,0.004,-0.021
-3.395,-1.236,-3.342,-1.206,-0.016,-0.003,-0.029,0.019
-3.238,-1.097,-3.388,-0.750,-0.015,-0.003,-0.023,-0.002
-3.154,-0.405,-3.370,-0.117,-0.015,-0.003,-0.023,-0.032
-2.649,-0.667,-2.278,0.148,-0.015,-0.003,-0.070,-0.043
-2.512,-0.658,-2.319,0.326,-0.014,-0.002,-0.062,-0.046
-1.668,0.022,-1.290,0.919,-0.013,-0.002,-0.098,-0.068
-1.581,-0.057,-0.795,0.906,-0.012,-0.001,-0.112,-0.060
-1.581,-0.057,-0.795,0.906,-0.012,-0.001,-0.112,-0.060
-2.157,0.364,-1.969,1.495,-0.011,-0.001,-0.044,-0.081
-1.168,0.646,-0.798,1.268,-0.010,0.001,-0.086,-0.057
-0.784,-0.105,-0.678,0.438,-0.010,0.001,-0.088,-0.012
0.305,0.412,1.825,0.889,-0.007,0.001,-0.179,-0.028
1.316,0.632,2.518,1.795,-0.006,0.002,-0.196,-0.068
1.514,0.709,3.082,1.248,-0.004,0.002,-0.207,-0.036
1.299,0.947,2.422,1.525,-0.001,0.003,-0.138,-0.033
1.043,0.701,1.658,1.163,-0.000,0.004,-0.089,-0.014
0.747,0.946,0.660,1.101,0.000,0.004,-0.032,-0.010
0.638,0.723,0.836,0.572,0.001,0.004,-0.032,0.015
0.535,0.762,-0.017,0.787,0.001,0.003,0.012,0.004
-0.006,0.560,-0.615,0.639,0.001,0.003,0.038,0.011
-0.226,0.703,-1.150,0.704,-0.000,0.003,0.054,0.007
-0.567,0.620,-2.030,0.801,-0.001,0.003,0.087,0.003
-0.567,0.620,-2.030,0.801,-0.001,0.003,0.087,0.003
-0.933,-0.029,-1.857,0.007,-0.002,0.003,0.068,0.037
-0.995,0.419,-2.241,0.444,-0.003,0.003,0.081,0.014
-1.443,0.260,-6.244,6.720,-0.016,0.028,0.113,0.014
-1.571,0.629,-10.148,15.919,-0.034,0.062,0.078,-0.019
-1.134,0.629,-13.278,24.252,-0.051,0.096,0.021,-0.016
-2.892,3.438,-15.096,26.125,-0.067,0.127,-0.089,0.279
-6.553,7.300,-18.349,33.199,-0.082,0.157,-0.114,0.305
-4.268,3.941,-18.089,29.275,-0.095,0.180,-0.285,0.781
-6.690,6.988,-13.326,15.589,-0.103,0.191,-0.625,1.608
-3.935,3.160,-11.209,17.095,-0.110,0.208,-0.821,1.745
-9.749,6.766,-8.609,6.980,-0.113,0.205,-0.983,2.215
-9.749,6.766,-11.570,12.902,-0.125,0.229,-0.983,2.215
-4.995,-0.314,-2.081,-10.383,-0.111,0.196,-1.288,2.968
-5.388,2.278,-2.395,-6.848,-0.111,0.199,-1.272,2.825
-5.611,3.158,-1.501,-7.626,-0.110,0.193,-1.294,2.795
-4.501,-1.044,0.406,-13.307,-0.099,0.164,-1.252,2.713
-4.624,-0.282,-0.066,-13.377,-0.095,0.155,-1.181,2.610
-4.335,0.137,3.137,-13.492,-0.089,0.145,-1.273,2.489
-2.065,-1.913,3.535,-12.159,-0.076,0.124,-1.130,2.164
-3.441,2.024,3.431,-9.518,-0.070,0.113,-1.046,1.893
-1.909,0.704,5.649,-12.306,-0.057,0.089,-0.994,1.729
